Freq (Hz),Re,Im
11.735,3.05E-07,1.23E-07
11.77,3.20E-07,1.12E-07
11.805,3.34E-07,1.00E-07
11.84,3.49E-07,8.73E-08
11.875,3.63E-07,7.32E-08
11.91,3.77E-07,5.81E-08
11.945,3.90E-07,4.18E-08
11.98,4.03E-07,2.45E-08
12.015,4.16E-07,5.98E-09
12.05,4.28E-07,-1.36E-08
12.085,4.40E-07,-3.44E-08
12.12,4.51E-07,-5.63E-08
12.155,4.61E-07,-7.93E-08
12.19,4.70E-07,-1.03E-07
12.225,4.79E-07,-1.29E-07
12.26,4.86E-07,-1.55E-07
12.295,4.93E-07,-1.83E-07
12.33,4.98E-07,-2.11E-07
12.365,5.03E-07,-2.41E-07
12.4,5.05E-07,-2.72E-07
12.435,5.07E-07,-3.04E-07
12.47,5.07E-07,-3.37E-07
12.505,5.05E-07,-3.70E-07
12.54,5.02E-07,-4.05E-07
12.575,4.97E-07,-4.40E-07
12.61,4.91E-07,-4.77E-07
12.645,4.75E-07,-5.01E-07
12.68,4.56E-07,-5.23E-07
12.715,4.37E-07,-5.44E-07
12.75,4.16E-07,-5.65E-07
12.785,3.95E-07,-5.84E-07
12.82,3.72E-07,-6.03E-07
12.855,3.49E-07,-6.21E-07
12.89,3.25E-07,-6.39E-07
12.925,3.00E-07,-6.55E-07
12.96,2.75E-07,-6.70E-07
12.995,2.48E-07,-6.85E-07
13.03,2.21E-07,-6.98E-07
13.065,1.93E-07,-7.10E-07
13.1,1.65E-07,-7.21E-07
13.135,1.36E-07,-7.31E-07
13.17,1.06E-07,-7.40E-07
13.205,7.62E-08,-7.48E-07
13.24,4.57E-08,-7.55E-07
13.275,1.47E-08,-7.60E-07
13.31,-1.66E-08,-7.64E-07
13.345,-4.81E-08,-7.67E-07
13.38,-8.00E-08,-7.68E-07
13.415,-1.12E-07,-7.68E-07
13.45,-1.44E-07,-7.67E-07
13.485,-1.77E-07,-7.65E-07
13.52,-2.09E-07,-7.61E-07
13.555,-2.41E-07,-7.56E-07
13.59,-2.74E-07,-7.49E-07
13.625,-3.06E-07,-7.41E-07
13.66,-3.38E-07,-7.32E-07
13.695,-3.68E-07,-7.20E-07
13.73,-3.85E-07,-6.83E-07
13.765,-3.99E-07,-6.47E-07
13.8,-4.11E-07,-6.11E-07
13.835,-4.22E-07,-5.76E-07
13.87,-4.31E-07,-5.42E-07
13.905,-4.38E-07,-5.08E-07
13.94,-4.44E-07,-4.75E-07
13.975,-4.49E-07,-4.43E-07
14.01,-4.52E-07,-4.12E-07
14.045,-4.53E-07,-3.82E-07
14.08,-4.54E-07,-3.52E-07
14.115,-4.53E-07,-3.23E-07
14.15,-4.52E-07,-2.96E-07
14.185,-4.49E-07,-2.69E-07
14.22,-4.45E-07,-2.43E-07
14.255,-4.41E-07,-2.19E-07
14.29,-4.35E-07,-1.95E-07
14.325,-4.29E-07,-1.72E-07
14.36,-4.22E-07,-1.50E-07
14.395,-4.15E-07,-1.29E-07
14.43,-4.07E-07,-1.09E-07
14.465,-3.98E-07,-8.97E-08
14.5,-3.89E-07,-7.15E-08
14.535,-3.80E-07,-5.42E-08
14.57,-3.70E-07,-3.79E-08
14.605,-3.60E-07,-2.24E-08
14.64,-3.49E-07,-7.83E-09
14.675,-3.39E-07,5.90E-09
14.71,-3.28E-07,1.88E-08
14.745,-3.17E-07,3.09E-08
14.78,-3.08E-07,4.26E-08
14.815,-3.02E-07,5.51E-08
14.85,-2.97E-07,6.72E-08
14.885,-2.91E-07,7.90E-08
14.92,-2.84E-07,9.03E-08
14.955,-2.77E-07,1.01E-07
14.99,-2.70E-07,1.12E-07
15.025,-2.62E-07,1.22E-07
15.06,-2.54E-07,1.32E-07
15.095,-2.46E-07,1.41E-07
15.13,-2.37E-07,1.50E-07
15.165,-2.28E-07,1.58E-07
15.2,-2.19E-07,1.66E-07
15.235,-2.10E-07,1.73E-07
15.27,-2.00E-07,1.80E-07
15.305,-1.90E-07,1.87E-07
15.34,-1.80E-07,1.92E-07
15.375,-1.70E-07,1.98E-07
15.41,-1.60E-07,2.03E-07
15.445,-1.50E-07,2.07E-07
15.48,-1.40E-07,2.11E-07
15.515,-1.29E-07,2.15E-07
15.55,-1.19E-07,2.18E-07
15.585,-1.08E-07,2.21E-07
15.62,-9.77E-08,2.23E-07
15.655,-8.73E-08,2.24E-07
15.69,-7.69E-08,2.26E-07
15.725,-6.65E-08,2.26E-07
15.76,-5.63E-08,2.27E-07
15.795,-4.61E-08,2.26E-07
15.83,-3.61E-08,2.26E-07
15.865,-2.66E-08,2.25E-07
15.9,-1.76E-08,2.25E-07
15.935,-8.72E-09,2.24E-07
15.97,1.08E-10,2.23E-07
16.005,8.83E-09,2.21E-07
16.04,1.74E-08,2.19E-07
16.075,2.59E-08,2.17E-07
16.11,3.42E-08,2.15E-07
16.145,4.24E-08,2.12E-07
16.18,5.04E-08,2.09E-07
16.215,5.82E-08,2.05E-07
16.25,6.58E-08,2.02E-07
16.285,7.33E-08,1.98E-07
16.32,8.05E-08,1.93E-07
16.355,8.75E-08,1.89E-07
16.39,9.43E-08,1.84E-07
16.425,1.01E-07,1.79E-07
16.46,1.07E-07,1.74E-07
16.495,1.13E-07,1.69E-07
16.53,1.19E-07,1.63E-07
16.565,1.25E-07,1.57E-07
16.6,1.30E-07,1.51E-07
16.635,1.35E-07,1.45E-07
16.67,1.40E-07,1.39E-07
16.705,1.44E-07,1.33E-07
16.74,1.48E-07,1.26E-07
16.775,1.52E-07,1.19E-07
16.81,1.56E-07,1.13E-07
16.845,1.59E-07,1.06E-07
16.88,1.62E-07,9.87E-08
16.915,1.65E-07,9.17E-08
16.95,1.67E-07,8.59E-08
16.985,1.69E-07,8.06E-08
17.02,1.71E-07,7.52E-08
17.055,1.73E-07,6.98E-08
17.09,1.74E-07,6.43E-08
17.125,1.75E-07,5.89E-08
17.16,1.76E-07,5.34E-08
17.195,1.77E-07,4.79E-08
17.23,1.78E-07,4.24E-08
17.265,1.79E-07,3.69E-08
17.3,1.79E-07,3.14E-08
17.335,1.79E-07,2.59E-08
17.37,1.79E-07,2.04E-08
17.405,1.79E-07,1.49E-08
17.44,1.79E-07,9.49E-09
17.475,1.79E-07,4.07E-09
17.51,1.78E-07,-1.31E-09
17.545,1.77E-07,-6.65E-09
17.58,1.77E-07,-1.20E-08
17.615,1.76E-07,-1.72E-08
17.65,1.74E-07,-2.24E-08
17.685,1.73E-07,-2.76E-08
17.72,1.71E-07,-3.26E-08
17.755,1.70E-07,-3.77E-08
17.79,1.68E-07,-4.26E-08
17.825,1.66E-07,-4.75E-08
17.86,1.64E-07,-5.23E-08
17.895,1.62E-07,-5.70E-08
17.93,1.60E-07,-6.17E-08
17.965,1.57E-07,-6.62E-08
18,1.55E-07,-7.07E-08
